﻿file,Code,Name,Stock,price
PMAD001400001.jpg,PMAD001400001,اديداس ييزي سليد ابيض,1,1
PMAD001400002.jpg,PMAD001400002,اديداس ييزي سليد بيج,2,815
PMAD001400005.jpg,PMAD001400005,اديداس ييزي سليد بلك,3,815
PMAD001400006.jpg,PMAD001400006,اديداس ييزي سليد بلك مقاسات خاصة,4,920
PMAD001400007.jpg,PMAD001400007,اديداس ييزي سليد بيج مقاسات خاصة,5,920
PMAD005200001.jpg,PMAD005200001,اديداس Y-3 Qasa Sandal Black,6,1
PMAD005200002.jpg,PMAD005200002,اديداس Y-3 Qasa Sandal Core Black,7,1
PMAD007200001.jpg,PMAD007200001,اديداس Maxxclog Sandals Core Black,8,900
PMAD007200002.jpg,PMAD007200002,اديداس Maxxclog Sandals Core White,9,900
PMAD009600001.jpg,PMAD009600001,adidas Samba Mule Woven Basketweave Cream White,10,1350
PMAD009600002.jpg,PMAD009600002,adidas Samba Mule Basketweave Core Black Gold Metallic accents,11,1
PMAD009600003.jpg,PMAD009600003,adidas Samba Mule White Black Gum,12,1
PMAD009600004.jpg,PMAD009600004,adidas Samba Mule Black White Gum,13,1
PMAD009600005.jpg,PMAD009600005,"Adidas Samba OG Mule Brown
Cardboard white",14,1350
PMAD009600006.jpg,PMAD009600006,"adidas Samba Mule Beige Off White
Gum",15,1350
PMAD010100001.jpg,PMAD010100001,"adidas Adilette Slides grey charcoal
brand logo printed",16,985
PMAD010100002.jpg,PMAD010100002,"adidas Adilette Slides black white
graphic logo bandage",17,985
PMAD010100003.jpg,PMAD010100003,"adidas Adilette Slides gray
medium-grey tone",18,985
PMAD010100004.jpg,PMAD010100004,adidas Adilette Slides Black&Grey Striped camouflage print,19,985
PMAD010100005.jpg,PMAD010100005,"adidas Adilette Slides black three
white stripes",20,985
PMAD010100006.jpg,PMAD010100006,"adidas Adilette Slides black Cloud
White text&logo",21,985
PMAD010100007.jpg,PMAD010100007,"adidas Adilette Slides White black
logo&text",22,985
PMAD010100008.jpg,PMAD010100008,adidas Adilette Slides black logo graphic print bandage strap,23,985
PMAD010100009.jpg,PMAD010100009,"adidas Adilette Slides black white
strap black 3-Stripes",24,985
PMAD010200001.jpg,PMAD010200001,adidas Lightblaze Slides Black White,25,970
PMAD010200002.jpg,PMAD010200002,adidas Lightblaze Slides White black,26,970
PMAQ001400001.jpg,PMAQ001400001,"Alexander McQueen Arc Clogs green
silver-tone metal buckle",27,2690
PMAQ001400002.jpg,PMAQ001400002,"Alexander McQueen Arc Clogs black
silver-tone metal buckle",28,2690
PMAQ001400003.jpg,PMAQ001400003,"Alexander McQueen Arc Clogs white
silver-tone metal buckle",29,2690
PMAQ001500001.jpg,PMAQ001500001,"ALEXANDER MCQUEEN Sandal
brown metal triangle logo",30,1690
PMAQ001500002.jpg,PMAQ001500002,"ALEXANDER MCQUEEN Sandal
BLACK toe-post metal triangle logo",31,1690
PMAQ001500003.jpg,PMAQ001500003,"ALEXANDER MCQUEEN Sandal
BLACK metal triangle logo",32,1690
PMAR000600001.jpg,PMAR000600001,Amiri Ma Paisley black Sandals,33,1
PMAR000600002.jpg,PMAR000600002,"Amiri Ma Paisley LIGHT BLUE
Sandals",34,1
PMAR000600003.jpg,PMAR000600003,"Amiri Ma Paisley Black & Off-White
Sandals",35,1
PMAX000100001.jpg,PMAX000100001,"Alexander Wang Vy Pool Sandals
ambskin leather bla",36,1
PMAX000100002.jpg,PMAX000100002,"Alexander Wang Vy Pool Sandals blue
cloth",37,1
PMAY000400001.jpg,PMAY000400001,Alo Yoga Unisex It Slide triple black,38,895
PMAY000400002.jpg,PMAY000400002,Alo Yoga Unisex It Slide triple white,39,895
PMAY000400003.jpg,PMAY000400003,Alo Yoga Unisex It Slide brown,40,895
PMAY000600001.jpg,PMAY000600001,"ALO Sunset Sneaker Mule Gravel
beige white",41,1470
PMAY000600002.jpg,PMAY000600002,"Alo Yoga Sunset Sneaker Mule Black
white",42,1470
PMAY000600003.jpg,PMAY000600003,Alo Yoga Sunset Sneaker Mule Sundrenched Pink white,43,1
PMAY000600004.jpg,PMAY000600004,"Alo Yoga Sunset Sneaker Mule
Sandstone",44,1470
PMBA001300001.jpg,PMBA001300001,بلنسيجا سليبر بلك,45,1700
PMBK000200001.jpg,PMBK000200001,birkenstock Arizona Softbed bs bruine,46,1
PMBK000300001.jpg,PMBK000300001,Birkenstock Catalina Birko-Flo rBlack,47,1
PMBK000300002.jpg,PMBK000300002,"Birkenstock Catalina Birko-Flor gray
metal",48,1
PMBK000400001.jpg,PMBK000400001,"Birkenstock Milano Earthy Vegan
Faded Khaki",49,1
PMBK000400002.jpg,PMBK000400002,Birkenstock Milano Dark Brown,50,1
PMBK000400003.jpg,PMBK000400003,Birkenstock Milano High-Shine Ecru,51,1655
PMBK000500001.jpg,PMBK000500001,"Birkenstock Madrid Big Birko-Flo
White",52,1
PMBK000500002.jpg,PMBK000500002,"Birkenstock Madrid  Big Birko-Flo Old
Rose",53,1
PMBK000500003.jpg,PMBK000500003,"Birkenstock Madrid  Big Birko-Flo
Cognac",54,1
PMBK000500004.jpg,PMBK000500004,"Birkenstock Madrid  Big Birko-Flo
Black Nubuck",55,1
PMBK000500005.jpg,PMBK000500005,"Birkenstock Madrid  Big Birko-Flo
BuckleLeather",56,1
PMBK000600001.jpg,PMBK000600001,"Birkenstock Mayari Birko-Flo Pearl
White",57,1
PMBK000700001.jpg,PMBK000700001,"Birkenstock PIAZZA  Birko-Flo Black
Patent",58,1
PMBK000700002.jpg,PMBK000700002,"Birkenstock PIAZZA  Birko-Flo Red
patent",59,1
PMBK000700003.jpg,PMBK000700003,"Birkenstock PIAZZA  Birko-Flo White
Patent",60,1
PMBK000700004.jpg,PMBK000700004,"Birkenstock PIAZZA  Birko-Flo purple
Patent",61,1
PMBK000700005.jpg,PMBK000700005,"Birkenstock PIAZZA  Birko-Flo Silver
Patent",62,1
PMBK000700006.jpg,PMBK000700006,"Birkenstock PIAZZA  Birko-Flo růžové
Patent",63,1
PMBK000800001.jpg,PMBK000800001,birkenstock Arizona Softbed bs bruine,64,1690
PMBK000800002.jpg,PMBK000800002,"Birkenstock Arizona Softbed  triple
black",65,1655
PMBK000800003.jpg,PMBK000800003,Birkenstock Arizona Softbed  light gray,66,1
PMBK000800004.jpg,PMBK000800004,Birkenstock Arizona Softbed  Kyoto,67,1690
PMBK000800005.jpg,PMBK000800005,Birkenstock Arizona Softbed Habanna,68,1615
PMBK000800006.jpg,PMBK000800006,"Birkenstock Arizona Softbed Muted
Olive Green",69,1
PMBK000800007.jpg,PMBK000800007,Birkenstock Arizona Softbed beige,70,1690
PMBK000800008.jpg,PMBK000800008,"Birkenstock Arizona Softbed dark
brown",71,1650
PMBK000800009.jpg,PMBK000800009,Birkenstock Arizona Softbed   Purple,72,1
PMBK000800010.jpg,PMBK000800010,"Birkenstock Arizona Softbed  Vegan
Berry",73,1
PMBK000800011.jpg,PMBK000800011,"Birkenstock Arizona Softbed Olive
Green",74,1690
PMBK000800012.jpg,PMBK000800012,"birkenstock Arizona Softbed Faded
Mocha",75,1690
PMBK000800013.jpg,PMBK000800013,birkenstock Arizona Softbed Taupe,76,1
PMBK000800014.jpg,PMBK000800014,birkenstock Arizona Softbed Black,77,1690
